method,pdb_id,decoy_rank,src_model,out_pdb
protenix,6Z2P,0,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_0.cif,predictions\protenix\6Z2P_rank00.pdb
protenix,6Z2P,1,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_1.cif,predictions\protenix\6Z2P_rank01.pdb
protenix,6Z2P,2,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_2.cif,predictions\protenix\6Z2P_rank02.pdb
protenix,6Z2P,3,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_3.cif,predictions\protenix\6Z2P_rank03.pdb
protenix,6Z2P,4,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_4.cif,predictions\protenix\6Z2P_rank04.pdb
protenix,7SAY,0,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_0.cif,predictions\protenix\7SAY_rank00.pdb
protenix,7SAY,1,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_1.cif,predictions\protenix\7SAY_rank01.pdb
protenix,7SAY,2,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_2.cif,predictions\protenix\7SAY_rank02.pdb
protenix,7SAY,3,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_3.cif,predictions\protenix\7SAY_rank03.pdb
protenix,7SAY,4,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_4.cif,predictions\protenix\7SAY_rank04.pdb
protenix,8AHT,0,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_0.cif,predictions\protenix\8AHT_rank00.pdb
protenix,8AHT,1,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_1.cif,predictions\protenix\8AHT_rank01.pdb
protenix,8AHT,2,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_2.cif,predictions\protenix\8AHT_rank02.pdb
protenix,8AHT,3,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_3.cif,predictions\protenix\8AHT_rank03.pdb
protenix,8AHT,4,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_4.cif,predictions\protenix\8AHT_rank04.pdb
protenix,8GAL,0,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_0.cif,predictions\protenix\8GAL_rank00.pdb
protenix,8GAL,1,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_1.cif,predictions\protenix\8GAL_rank01.pdb
protenix,8GAL,2,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_2.cif,predictions\protenix\8GAL_rank02.pdb
protenix,8GAL,3,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_3.cif,predictions\protenix\8GAL_rank03.pdb
protenix,8GAL,4,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_4.cif,predictions\protenix\8GAL_rank04.pdb
